"Timestamp","What is your tag","What is your twitter handle","Which character do you main?","What is your self assessment of your skill","Your character vs Fox on Final Destination","Your character vs Fox on Battlefield","Your character vs Fox on Dreamland","Your character vs Fox on Fountain of Dreams","Your character vs Fox on Yoshi's Story ","Your character vs Fox on Pokemon Stadium","Your character vs Falco on Final Destination","Your character vs Falco on Battlefield","Your character vs Falco on Dreamland","Your character vs Falco on Fountain of Dreams","Your character vs Falco on Yoshi's Story","Your character vs Falco on Pokemon Stadium","Your character vs Puff on Final Destination","Your character vs Puff on Battlefield","Your character vs Puff on Dreamland","Your character vs Puff on Fountain of Dreams","Your character vs Puff on Yoshi's Story","Your character vs Puff on Pokemon Stadium","Your character vs Marth on Final Destination","Your character vs Marth on Battlefield","Your character vs Marth on Dreamland","Your character vs Marth on Fountain of Dreams","Your character vs Marth on Yoshi's Story","Your character vs Marth on Pokemon Stadium","Your character vs Sheik on Final Destination","Your character vs Sheik on Battlefield","Your character vs Sheik on Dreamland","Your character vs Sheik on Fountain of Dreams","Your character vs Sheik on Yoshi's Story","Your character vs Sheik on Pokemon Stadium","Your character vs Falcon on Final Destination","Your character vs Falcon on Battlefield","Your character vs Falcon on Dreamland","Your character vs Falcon on Fountain of Dreams","Your character vs Falcon on Yoshi's Story","Your character vs Falcon on Pokemon Stadium","Your character vs Peach on Final Destination","Your character vs Peach on Battlefield","Your character vs Peach on Dreamland","Your character vs Peach on Fountain of Dreams","Your character vs Peach on Yoshi's Story ","Your character vs Peach on Pokemon Stadium"
"2021/04/18 12:42:14 PM AST","Ambisinister","@ambisinister_","Fox","Strong Regional-Level Player","50-50","50-50","50-50","50-50","50-50","50-50","60-40","40-60","50-50","50-50","60-40","50-50","60-40","50-50","30-70","50-50","60-40","70-30","30-70","40-60","50-50","40-60","60-40","40-60","70-30","50-50","50-50","50-50","50-50","70-30","60-40","50-50","50-50","70-30","60-40","60-40","50-50","60-40","50-50","50-50","60-40","70-30"
"2021/04/18 12:47:18 PM AST","Nago","cisinasociety","Game and Watch","Tournament Regular","30-70","Worse than 30-70 (losing)","30-70","30-70","Worse than 30-70 (losing)","Worse than 30-70 (losing)","Worse than 30-70 (losing)","Worse than 30-70 (losing)","30-70","40-60","Worse than 30-70 (losing)","Worse than 30-70 (losing)","30-70","30-70","Worse than 30-70 (losing)","30-70","40-60","Worse than 30-70 (losing)","Worse than 30-70 (losing)","30-70","30-70","30-70","Worse than 30-70 (losing)","30-70","Worse than 30-70 (losing)","Worse than 30-70 (losing)","Worse than 30-70 (losing)","Worse than 30-70 (losing)","Worse than 30-70 (losing)","Worse than 30-70 (losing)","40-60","30-70","40-60","40-60","30-70","Worse than 30-70 (losing)","40-60","30-70","Worse than 30-70 (losing)","40-60","Worse than 30-70 (losing)","Worse than 30-70 (losing)"
"2021/04/18 12:49:32 PM AST","ESAM","imESAM","Samus","Top Player","30-70","40-60","40-60","50-50","50-50","40-60","50-50","50-50","40-60","50-50","30-70","40-60","40-60","50-50","30-70","40-60","40-60","40-60","40-60","50-50","60-40","50-50","40-60","40-60","30-70","30-70","30-70","40-60","40-60","30-70","30-70","40-60","30-70","40-60","40-60","30-70","40-60","50-50","30-70","40-60","40-60","40-60"
"2021/04/18 12:49:48 PM AST","Fleuron","icecoffeeeeeee","Falco","Average Skill","50-50","60-40","50-50","40-60","60-40","60-40","50-50","50-50","50-50","50-50","50-50","50-50","50-50","60-40","40-60","40-60","60-40","60-40","40-60","50-50","40-60","50-50","60-40","40-60","40-60","60-40","60-40","40-60","60-40","50-50","60-40","60-40","40-60","50-50","60-40","50-50","40-60","50-50","40-60","60-40","60-40","60-40"
"2021/04/18 12:49:54 PM AST","Rich","@RichSSBM","Fox","","50-50","50-50","50-50","50-50","50-50","50-50","60-40","40-60","50-50","50-50","60-40","40-60","60-40","50-50","40-60","50-50","50-50","60-40","40-60","50-50","60-40","50-50","50-50","50-50","60-40","40-60","50-50","50-50","60-40","60-40","60-40","50-50","50-50","60-40","60-40","40-60","40-60","50-50","60-40","40-60","60-40","60-40"
"2021/04/18 12:50:15 PM AST","Setchi","SetchiSSBM","Falcon","Top Player","40-60","50-50","50-50","40-60","40-60","50-50","40-60","50-50","50-50","40-60","40-60","50-50","50-50","50-50","50-50","50-50","50-50","50-50","50-50","50-50","50-50","40-60","50-50","50-50","50-50","50-50","50-50","40-60","50-50","50-50","50-50","50-50","50-50","50-50","50-50","50-50","50-50","60-40","60-40","50-50","60-40","60-40"
"2021/04/18 12:51:59 PM AST","please add 55-45","","Puff","Average Skill","30-70","40-60","50-50","50-50","40-60","40-60","40-60","50-50","50-50","50-50","40-60","40-60","50-50","50-50","50-50","50-50","50-50","50-50","40-60","50-50","60-40","50-50","40-60","50-50","60-40","50-50","60-40","50-50","40-60","60-40","50-50","50-50","60-40","60-40","40-60","40-60","60-40","60-40","60-40","60-40","60-40","50-50"
"2021/04/18 12:52:40 PM AST","Chape","Chape_ssb","Fox","Strong Regional-Level Player","50-50","50-50","50-50","50-50","50-50","50-50","60-40","40-60","60-40","50-50","50-50","50-50","60-40","50-50","40-60","50-50","60-40","60-40","30-70","40-60","50-50","50-50","60-40","40-60","70-30","50-50","50-50","50-50","50-50","70-30","Better than 70-30 (winning)","60-40","50-50","60-40","60-40","50-50","40-60","60-40","60-40","50-50","60-40","70-30"
"2021/04/18 12:53:31 PM AST","RSQ","","Ganondorf","Average Skill","30-70","40-60","Worse than 30-70 (losing)","30-70","40-60","30-70","Worse than 30-70 (losing)","30-70","Worse than 30-70 (losing)","Worse than 30-70 (losing)","30-70","30-70","30-70","30-70","30-70","Worse than 30-70 (losing)","40-60","40-60","30-70","40-60","40-60","30-70","50-50","40-60","Worse than 30-70 (losing)","Worse than 30-70 (losing)","Worse than 30-70 (losing)","Worse than 30-70 (losing)","Worse than 30-70 (losing)","Worse than 30-70 (losing)","Worse than 30-70 (losing)","30-70","Worse than 30-70 (losing)","30-70","40-60","Worse than 30-70 (losing)","40-60","40-60","30-70","30-70","50-50","40-60"
"2021/04/18 12:53:35 PM AST","Kankato","@KankatoRYM","Samus","Average Skill","50-50","50-50","60-40","60-40","40-60","50-50","40-60","50-50","60-40","60-40","40-60","50-50","40-60","30-70","Worse than 30-70 (losing)","30-70","30-70","40-60","40-60","50-50","60-40","60-40","50-50","50-50","30-70","30-70","40-60","40-60","30-70","30-70","30-70","30-70","30-70","30-70","30-70","30-70","50-50","50-50","50-50","60-40","60-40","50-50"
"2021/04/18 12:54:21 PM AST","burrito","Hologramburrito","Marth","Tournament Regular","70-30","60-40","60-40","60-40","50-50","60-40","50-50","50-50","50-50","50-50","50-50","50-50","60-40","60-40","50-50","50-50","60-40","60-40","50-50","50-50","50-50","50-50","50-50","50-50","60-40","50-50","40-60","50-50","50-50","50-50","60-40","60-40","60-40","60-40","60-40","60-40","60-40","60-40","50-50","60-40","60-40","60-40"
"2021/04/18 12:54:21 PM AST","Amadeus","@joseponypants","Marth","Average Skill","60-40","50-50","50-50","50-50","50-50","50-50","60-40","50-50","50-50","50-50","50-50","50-50","60-40","50-50","40-60","50-50","60-40","50-50","50-50","50-50","50-50","50-50","50-50","50-50","50-50","50-50","40-60","40-60","60-40","50-50","50-50","50-50","40-60","50-50","50-50","50-50","60-40","50-50","40-60","50-50","60-40","50-50"
"2021/04/18 12:55:32 PM AST","FidelCastro","edwin_budding","Marth","Average Skill","70-30","50-50","50-50","50-50","50-50","60-40","60-40","50-50","40-60","40-60","50-50","60-40","60-40","60-40","50-50","60-40","60-40","60-40","50-50","50-50","50-50","50-50","50-50","50-50","60-40","50-50","40-60","40-60","50-50","60-40","50-50","40-60","40-60","60-40","60-40","50-50","60-40","60-40","50-50","60-40","60-40","60-40"
"2021/04/18 12:58:15 PM AST","Daolothe","@daolothe","Falcon","Strong Regional-Level Player","40-60","40-60","40-60","40-60","40-60","40-60","30-70","40-60","40-60","40-60","40-60","40-60","Worse than 30-70 (losing)","30-70","30-70","30-70","40-60","30-70","60-40","50-50","60-40","50-50","50-50","50-50","60-40","50-50","50-50","40-60","50-50","50-50","50-50","50-50","50-50","50-50","50-50","50-50","40-60","60-40","60-40","40-60","60-40","60-40"
"2021/04/18 12:58:37 PM AST","Lenz","Lenzssbm","Marth","Average Skill","60-40","50-50","40-60","50-50","50-50","50-50","50-50","50-50","50-50","40-60","50-50","50-50","40-60","50-50","40-60","50-50","60-40","50-50","50-50","50-50","50-50","50-50","50-50","50-50","50-50","40-60","40-60","40-60","40-60","40-60","40-60","50-50","50-50","50-50","50-50","50-50","50-50","50-50","40-60","50-50","50-50","50-50"
"2021/04/18 12:59:30 PM AST","ABC","@Alphabetized_","Puff","Average Skill","30-70","50-50","55-45","40-60","45-55","30-70","50-50","55-45","60-40","55-45","40-60","45-55","50-50","50-50","50-50","50-50","50-50","50-50","40-60","50-50","60-40","50-50","40-60","40-60","70-30","60-40","70-30","60-40","50-50","50-50","50-50","50-50","60-40","60-40","50-50","40-60","60-40","60-40","Better than 70-30 (winning)","60-40","50-50","60-40"
"2021/04/18 1:00:18 PM AST","Ed","@ed__inside","Fox","Beginner","50-50","50-50","50-50","50-50","50-50","50-50","55-45","45-55","50-50","50-50","50-50","50-50","55-45","50-50","50-50","50-50","60-40","50-50","40-60","50-50","50-50","50-50","50-50","40-60","60-40","50-50","50-50","50-50","50-50","50-50","50-50","50-50","50-50","50-50","40-60","50-50","40-60","50-50","50-50","50-50","50-50","50-50"
"2021/04/18 1:01:14 PM AST","Ryobeat","@ryobeatpeach","Peach","Top Player","45-55","40-60","40-60","40-60","40-60","40-60","55-45","45-55","50-50","45-55","40-60","45-55","30-70","30-70","Worse than 30-70 (losing)","40-60","30-70","40-60","40-60","40-60","45-55","40-60","40-60","40-60","40-60","40-60","40-60","40-60","40-60","40-60","50-50","40-60","40-60","40-60","40-60","40-60","45-55","45-55","45-55","45-55","45-55","45-55"
"2021/04/18 1:02:24 PM AST","Shojam","","Fox","Tournament Regular","50-50","50-50","50-50","50-50","50-50","50-50","45-55","50-50","50-50","55-45","55-45","50-50","60-40","55-45","50-50","50-50","60-40","60-40","40-60","45-55","50-50","45-55","45-55","50-50","60-40","40-60","50-50","40-60","60-40","60-40","60-40","60-40","50-50","50-50","60-40","60-40","40-60","60-40","40-60","60-40","60-40","60-40"
"2021/04/18 1:02:38 PM AST","Kevin maples","Kevinmaples_","Fox","Top Player","50-50","50-50","50-50","50-50","50-50","50-50","55-45","45-55","50-50","50-50","55-45","50-50","60-40","55-45","45-55","55-45","55-45","60-40","45-55","50-50","55-45","50-50","55-45","50-50","60-40","45-55","50-50","45-55","55-45","60-40","60-40","50-50","50-50","60-40","60-40","50-50","50-50","60-40","50-50","40-60","60-40","60-40"
"2021/04/18 1:03:27 PM AST","yung Ullrich","jennyprenzlberg","Peach","Tournament Regular","45-55","40-60","45-55","45-55","40-60","40-60","55-45","45-55","50-50","50-50","45-55","45-55","50-50","45-55","40-60","45-55","45-55","45-55","45-55","40-60","45-55","45-55","40-60","45-55","50-50","40-60","45-55","45-55","40-60","45-55","45-55","40-60","40-60","50-50","40-60","30-70","50-50","50-50","50-50","50-50","50-50","50-50"
"2021/04/18 1:05:40 PM AST","Green Bean","greenbeanstream","Falcon","Tournament Regular","45-55","55-45","55-45","40-60","50-50","50-50","40-60","55-45","55-45","50-50","55-45","50-50","55-45","55-45","45-55","50-50","55-45","55-45","55-45","55-45","55-45","45-55","45-55","55-45","45-55","50-50","50-50","45-55","50-50","55-45","50-50","50-50","50-50","50-50","50-50","50-50","55-45","55-45","45-55","50-50","55-45","55-45"
"2021/04/18 1:07:15 PM AST","RJ7k","@RJ7000_","Falco","Average Skill","45-55","45-55","45-55","45-55","45-55","45-55","50-50","50-50","50-50","50-50","50-50","50-50","55-45","55-45","50-50","55-45","55-45","55-45","40-60","45-55","45-55","45-55","45-55","45-55","55-45","55-45","55-45","55-45","55-45","55-45","60-40","60-40","60-40","60-40","60-40","60-40","50-50","55-45","55-45","55-45","55-45","55-45"
"2021/04/18 1:07:50 PM AST","kanye rest","@meleeideologue","Puff","Tournament Regular","40-60","45-55","55-45","50-50","45-55","40-60","45-55","50-50","50-50","55-45","40-60","45-55","50-50","50-50","50-50","50-50","50-50","50-50","40-60","50-50","60-40","50-50","40-60","45-55","60-40","50-50","50-50","50-50","45-55","45-55","60-40","50-50","55-45","60-40","45-55","45-55","55-45","50-50","55-45","50-50","45-55","50-50"
"2021/04/18 1:08:29 PM AST","Slowking","@SlowkingSSBM","Falco","Strong Regional-Level Player","50-50","55-45","50-50","50-50","45-55","50-50","50-50","50-50","50-50","50-50","50-50","50-50","50-50","50-50","40-60","50-50","60-40","60-40","45-55","50-50","55-45","50-50","50-50","50-50","60-40","50-50","50-50","50-50","55-45","55-45","60-40","55-45","55-45","55-45","55-45","55-45","50-50","50-50","45-55","50-50","55-45","55-45"
"2021/04/18 1:09:12 PM AST","LargeMarge","@LardMarge","Ice Climbers","Tournament Regular","55-45","30-70","40-60","40-60","50-50","40-60","55-45","45-55","50-50","50-50","50-50","50-50","45-55","30-70","Worse than 30-70 (losing)","30-70","55-45","45-55","45-55","30-70","45-55","45-55","40-60","40-60","70-30","60-40","60-40","60-40","60-40","60-40","50-50","40-60","40-60","45-55","40-60","40-60","40-60","30-70","Worse than 30-70 (losing)","30-70","40-60","40-60"
"2021/04/18 1:09:22 PM AST","EduPorp","@EduPorp","Falcon","Strong Regional-Level Player","30-70","40-60","45-55","40-60","40-60","45-55","40-60","45-55","45-55","40-60","40-60","45-55","50-50","55-45","45-55","60-40","60-40","60-40","50-50","55-45","60-40","55-45","55-45","60-40","50-50","45-55","50-50","45-55","40-60","45-55","50-50","50-50","50-50","50-50","50-50","50-50","30-70","55-45","50-50","45-55","60-40","60-40"
"2021/04/18 1:13:28 PM AST","Blackpixel","@Blackpixel_ssb","Marth","Average Skill","70-30","50-50","50-50","50-50","40-60","40-60","50-50","50-50","50-50","50-50","40-60","60-40","60-40","50-50","40-60","50-50","60-40","50-50","50-50","50-50","50-50","50-50","50-50","50-50","60-40","50-50","50-50","40-60","40-60","50-50","60-40","50-50","60-40","40-60","40-60","40-60","60-40","50-50","40-60","60-40","60-40","60-40"
"2021/04/18 1:14:21 PM AST","Coffee","@downsmasher","Peach","Strong Regional-Level Player","40-60","30-70","45-55","50-50","45-55","Worse than 30-70 (losing)","55-45","40-60","45-55","45-55","40-60","40-60","45-55","40-60","40-60","50-50","50-50","50-50","Worse than 30-70 (losing)","40-60","55-45","45-55","40-60","45-55","50-50","30-70","45-55","50-50","40-60","45-55","55-45","40-60","45-55","55-45","45-55","30-70","50-50","50-50","50-50","50-50","50-50","50-50"
"2021/04/18 1:14:33 PM AST","Frosty","@A_Bit_Frosty","Falco","Average Skill","50-50","55-45","45-55","55-45","50-50","45-55","50-50","50-50","50-50","50-50","50-50","50-50","55-45","55-45","40-60","55-45","60-40","55-45","50-50","55-45","45-55","50-50","55-45","55-45","60-40","50-50","45-55","50-50","55-45","55-45","60-40","55-45","45-55","50-50","50-50","55-45","50-50","55-45","45-55","50-50","60-40","55-45"
"2021/04/18 1:14:46 PM AST","Bort","Bortyboy ","Falcon","Average Skill","40-60","45-55","50-50","45-55","45-55","45-55","40-60","40-60","45-55","40-60","40-60","40-60","55-45","50-50","50-50","45-55","60-40","55-45","45-55","50-50","55-45","45-55","45-55","50-50","45-55","45-55","50-50","40-60","55-45","45-55","50-50","50-50","50-50","50-50","50-50","50-50","50-50","55-45","55-45","50-50","60-40","55-45"
"2021/04/18 1:15:14 PM AST","jvac","josh_jvac","Fox","Tournament Regular","","","","","","","55-45","55-45","50-50","50-50","60-40","55-45","70-30","60-40","55-45","60-40","70-30","70-30","30-70","45-55","45-55","40-60","45-55","40-60","60-40","55-45","60-40","55-45","55-45","60-40","70-30","60-40","55-45","60-40","60-40","60-40","45-55","60-40","55-45","55-45","60-40","55-45"
"2021/04/18 1:17:03 PM AST","bottomfragger","bottomfragger","Yoshi","Tournament Regular","30-70","40-60","40-60","40-60","40-60","30-70","40-60","45-55","50-50","45-55","45-55","40-60","45-55","45-55","30-70","45-55","45-55","40-60","40-60","50-50","50-50","50-50","50-50","45-55","40-60","45-55","45-55","45-55","50-50","45-55","40-60","40-60","40-60","40-60","40-60","40-60","40-60","45-55","45-55","45-55","45-55","40-60"
"2021/04/18 1:17:28 PM AST","New Guy","@guy_who_is_new","Ganondorf","Strong Regional-Level Player","30-70","30-70","30-70","30-70","30-70","Worse than 30-70 (losing)","40-60","45-55","45-55","45-55","45-55","40-60","40-60","40-60","40-60","40-60","40-60","40-60","30-70","40-60","40-60","40-60","40-60","40-60","Worse than 30-70 (losing)","30-70","30-70","30-70","30-70","30-70","30-70","40-60","40-60","40-60","40-60","30-70","40-60","40-60","40-60","40-60","40-60","40-60"
"2021/04/18 1:18:28 PM AST","Nate","@nathanpboyd","Marth","Tournament Regular","70-30","50-50","45-55","50-50","50-50","50-50","60-40","50-50","50-50","50-50","45-55","50-50","55-45","50-50","45-55","50-50","50-50","55-45","50-50","50-50","50-50","50-50","50-50","50-50","55-45","50-50","50-50","50-50","50-50","50-50","50-50","50-50","45-55","55-45","50-50","50-50","60-40","50-50","50-50","50-50","50-50","55-45"
"2021/04/18 1:19:18 PM AST","Lantern","@ledgecamper","Falcon","Average Skill","45-55","45-55","45-55","40-60","45-55","45-55","40-60","40-60","40-60","40-60","40-60","40-60","50-50","45-55","40-60","40-60","50-50","50-50","55-45","55-45","55-45","50-50","50-50","55-45","55-45","55-45","55-45","55-45","55-45","55-45","50-50","50-50","50-50","50-50","50-50","50-50","55-45","55-45","55-45","55-45","55-45","55-45"
"2021/04/18 1:22:39 PM AST","R2DLiu","@R2_DLiu","Fox","Top Player","50-50","50-50","50-50","50-50","50-50","50-50","55-45","50-50","45-55","50-50","55-45","50-50","60-40","50-50","45-55","55-45","60-40","60-40","30-70","45-55","50-50","45-55","55-45","50-50","60-40","50-50","50-50","50-50","55-45","60-40","60-40","55-45","50-50","60-40","55-45","55-45","50-50","55-45","50-50","50-50","55-45","60-40"
"2021/04/18 1:22:47 PM AST","OUCH","","Fox","Beginner","60-40","50-50","50-50","50-50","50-50","50-50","55-45","55-45","55-45","45-55","45-55","60-40","40-60","55-45","30-70","40-60","60-40","60-40","40-60","45-55","55-45","55-45","50-50","55-45","40-60","55-45","55-45","55-45","45-55","50-50","40-60","60-40","55-45","55-45","45-55","45-55","40-60","60-40","40-60","55-45","70-30","60-40"
"2021/04/18 1:23:58 PM AST","MegaXmas ","MegaXmas ","Falco","Strong Regional-Level Player","40-60","55-45","50-50","55-45","45-55","50-50","50-50","50-50","50-50","50-50","50-50","50-50","55-45","50-50","45-55","45-55","60-40","55-45","70-30","60-40","60-40","70-30","60-40","60-40","60-40","50-50","50-50","50-50","55-45","55-45","70-30","60-40","55-45","60-40","60-40","60-40","45-55","55-45","55-45","50-50","60-40","55-45"
"2021/04/18 1:25:27 PM AST","Voiles","Voiles1910","Falco","Average Skill","50-50","50-50","55-45","45-55","55-45","50-50","50-50","50-50","50-50","50-50","50-50","50-50","60-40","55-45","55-45","40-60","55-45","60-40","50-50","50-50","55-45","45-55","50-50","55-45","60-40","50-50","50-50","45-55","50-50","55-45","60-40","55-45","55-45","60-40","55-45","55-45","55-45","55-45","60-40","40-60","50-50","55-45"
"2021/04/18 1:28:02 PM AST","heartstrings","","Sheik","Strong Regional-Level Player","45-55","50-50","45-55","45-55","45-55","45-55","50-50","55-45","55-45","55-45","55-45","55-45","45-55","45-55","45-55","50-50","50-50","45-55","50-50","55-45","55-45","55-45","55-45","50-50","50-50","50-50","50-50","50-50","50-50","50-50","55-45","55-45","55-45","55-45","55-45","55-45","55-45","55-45","55-45","55-45","55-45","55-45"
"2021/04/18 1:28:20 PM AST","Latin","@borcossbm","Marth","Average Skill","60-40","50-50","45-55","50-50","45-55","55-45","50-50","50-50","45-55","50-50","50-50","55-45","55-45","45-55","40-60","50-50","55-45","55-45","50-50","50-50","50-50","50-50","50-50","50-50","55-45","45-55","40-60","50-50","50-50","55-45","50-50","50-50","45-55","50-50","55-45","50-50","50-50","55-45","45-55","50-50","60-40","45-55"
"2021/04/18 1:28:32 PM AST","Latin","@borcossbm","Marth","Average Skill","60-40","50-50","45-55","50-50","45-55","55-45","50-50","50-50","45-55","50-50","50-50","55-45","55-45","45-55","40-60","50-50","55-45","55-45","50-50","50-50","50-50","50-50","50-50","50-50","55-45","45-55","40-60","50-50","50-50","55-45","50-50","50-50","45-55","50-50","55-45","50-50","50-50","55-45","45-55","50-50","60-40","45-55"
"2021/04/18 1:28:37 PM AST","Latin","@borcossbm","Marth","Average Skill","60-40","50-50","45-55","50-50","45-55","55-45","50-50","50-50","45-55","50-50","50-50","55-45","55-45","45-55","40-60","50-50","55-45","55-45","50-50","50-50","50-50","50-50","50-50","50-50","55-45","45-55","40-60","50-50","50-50","55-45","50-50","50-50","45-55","50-50","55-45","50-50","50-50","55-45","45-55","50-50","60-40","45-55"
"2021/04/18 1:28:47 PM AST","NathanSandwich","NathanSandwich","Falcon","Strong Regional-Level Player","45-55","50-50","55-45","40-60","45-55","55-45","30-70","50-50","55-45","30-70","45-55","50-50","50-50","55-45","55-45","45-55","60-40","55-45","45-55","50-50","60-40","45-55","40-60","50-50","45-55","50-50","55-45","30-70","45-55","55-45","50-50","50-50","50-50","50-50","50-50","50-50","40-60","55-45","50-50","45-55","60-40","60-40"
"2021/04/18 1:33:21 PM AST","Gomi","@R0bRomano","Peach","Tournament Regular","45-55","40-60","45-55","50-50","45-55","30-70","55-45","45-55","50-50","50-50","40-60","45-55","40-60","40-60","30-70","40-60","45-55","40-60","40-60","45-55","40-60","50-50","40-60","40-60","50-50","40-60","45-55","45-55","45-55","45-55","40-60","40-60","45-55","55-45","50-50","40-60","50-50","50-50","50-50","50-50","50-50","50-50"
"2021/04/18 1:34:34 PM AST","Kaptinkillem","@kaptinkillem","Falco","Tournament Regular","50-50","45-55","45-55","45-55","40-60","55-45","50-50","50-50","50-50","50-50","50-50","50-50","60-40","60-40","50-50","60-40","70-30","60-40","50-50","50-50","55-45","45-55","50-50","50-50","60-40","45-55","50-50","45-55","50-50","55-45","60-40","55-45","55-45","55-45","60-40","50-50","55-45","60-40","60-40","60-40","70-30","60-40"
"2021/04/18 1:34:47 PM AST","Radar","@radarssbm","Falco","Tournament Regular","55-45","50-50","50-50","50-50","50-50","50-50","50-50","50-50","50-50","50-50","50-50","50-50","50-50","50-50","45-55","50-50","60-40","55-45","40-60","45-55","50-50","45-55","45-55","45-55","60-40","50-50","55-45","50-50","50-50","50-50","60-40","55-45","50-50","50-50","50-50","55-45","30-70","50-50","45-55","50-50","60-40","50-50"
"2021/04/18 1:35:37 PM AST","nat","@ssbNat","Marth","Strong Regional-Level Player","60-40","45-55","45-55","45-55","45-55","55-45","50-50","55-45","45-55","50-50","50-50","60-40","60-40","55-45","50-50","55-45","60-40","60-40","50-50","50-50","50-50","55-45","50-50","50-50","55-45","40-60","50-50","40-60","55-45","55-45","50-50","50-50","40-60","60-40","55-45","55-45","60-40","60-40","50-50","55-45","55-45","60-40"
"2021/04/18 1:37:32 PM AST","uwumysticalgirl","uwumysticalgirl","Puff","Strong Regional-Level Player","30-70","40-60","45-55","40-60","30-70","30-70","40-60","45-55","45-55","45-55","30-70","40-60","50-50","50-50","50-50","50-50","50-50","50-50","40-60","45-55","50-50","45-55","30-70","40-60","50-50","50-50","55-45","50-50","40-60","45-55","45-55","50-50","50-50","55-45","40-60","40-60","55-45","55-45","55-45","55-45","50-50","55-45"
"2021/04/18 1:38:01 PM AST","Rococo","RococoSSBM","Fox","Tournament Regular","50-50","50-50","50-50","50-50","50-50","50-50","60-40","50-50","50-50","50-50","55-45","50-50","60-40","55-45","55-45","55-45","60-40","60-40","45-55","50-50","50-50","45-55","50-50","50-50","60-40","55-45","55-45","55-45","55-45","60-40","55-45","55-45","55-45","55-45","55-45","55-45","50-50","55-45","55-45","55-45","55-45","55-45"
"2021/04/18 1:42:15 PM AST","Snorlaxative","Snorlaxative69","Sheik","Average Skill","30-70","45-55","45-55","50-50","45-55","40-60","30-70","50-50","50-50","50-50","50-50","45-55","60-40","70-30","55-45","70-30","70-30","70-30","45-55","55-45","55-45","50-50","50-50","50-50","50-50","50-50","50-50","50-50","50-50","50-50","50-50","50-50","45-55","55-45","50-50","50-50","50-50","55-45","55-45","55-45","55-45","55-45"
"2021/04/18 1:42:52 PM AST","anonymous","","Sheik","Beginner","45-55","50-50","50-50","50-50","45-55","40-60","40-60","45-55","55-45","50-50","45-55","40-60","40-60","45-55","30-70","45-55","45-55","45-55","55-45","50-50","55-45","50-50","45-55","45-55","50-50","50-50","50-50","50-50","50-50","50-50","45-55","50-50","45-55","50-50","45-55","45-55","55-45","50-50","45-55","50-50","55-45","50-50"
"2021/04/18 1:45:33 PM AST","self-flagellate","","Marth","Average Skill","Better than 70-30 (winning)","55-45","50-50","50-50","45-55","60-40","60-40","50-50","45-55","50-50","45-55","55-45","55-45","50-50","40-60","50-50","55-45","55-45","50-50","50-50","50-50","50-50","50-50","50-50","60-40","50-50","40-60","45-55","55-45","55-45","55-45","45-55","40-60","50-50","55-45","40-60","60-40","50-50","40-60","45-55","55-45","50-50"
"2021/04/18 1:48:33 PM AST","Gorgonzola ","g0rgOnz0la","Fox","Average Skill","50-50","50-50","50-50","50-50","50-50","50-50","45-55","50-50","55-45","60-40","50-50","40-60","60-40","55-45","30-70","45-55","60-40","60-40","40-60","50-50","60-40","60-40","50-50","55-45","50-50","55-45","45-55","50-50","60-40","60-40","60-40","50-50","55-45","70-30","55-45","60-40","45-55","60-40","45-55","45-55","60-40","60-40"
